local_folder,local_path,filename,file_size,page_count,pdf_title,pdf_author,detected_title,detected_author,year,publisher,isbn_10,isbn_13,doi,language,text_sample,scan_error
Atlas de Accesibilidad y Conectividad,5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_introduccion.pdf,atlas_introduccion.pdf,1640416,16,,,atlas_introduccion,,,,,,,,"






",
Atlas de Accesibilidad y Conectividad,5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion1_generalidades.pdf,atlas_seccion1_generalidades.pdf,1371455,10,,,atlas_seccion1_generalidades,,,,,,,,"






",
Atlas de Accesibilidad y Conectividad,5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion2_sociodemografico.pdf,atlas_seccion2_sociodemografico.pdf,3346056,22,,,atlas_seccion2_sociodemografico,,,,,,,,"






",
Atlas de Accesibilidad y Conectividad,5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion3_sociodeconomico.pdf,atlas_seccion3_sociodeconomico.pdf,2904433,20,,,atlas_seccion3_sociodeconomico,,,,,,,,"






",
Atlas de Accesibilidad y Conectividad,5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion4_proximidad_peatonal_movilidadnomotorizada.pdf,atlas_seccion4_proximidad_peatonal_movilidadnomotorizada.pdf,7300504,13,,,atlas_seccion4_proximidad_peatonal_movilidadnomotorizada,,,,,,,,"






",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/ACOSTA PATRICIA 2008 Policy Learningn new Challenges for Smart Value capture in colombia.pdf,ACOSTA PATRICIA 2008 Policy Learningn new Challenges for Smart Value capture in colombia.pdf,15448649,126,,,Policy Learning :,Patricia Acosta,1993,Submitted to the Department of Urban Studies and Planning,,,,eng,"Policy Learning :
New Challenges for Smart Value Capture in Colombia
By
Patricia Acosta
BArch. Architecture
Universidad de Los Andes
Bogota, Colombia (1993)
Submitted to the Department of Urban Studies and Planning
in partial fulfillment of the requirements for the degree of
Master of Science
at the
MASSACHUSETTS INSTITUTE OF TECHNOLOGY
June 2008
© 2008 Patricia Acosta. All Rights Reserved
The author here by grants to MIT the permission to reproduce and to
distribute publicly paper and electronic copies of the thesis document in
whole or in part.
MASSACHUSETTS INSTTrU1TE
OF TECHNOLOGY
JUN 2 5 2008
LIBRARIES
ARCHNVE
Author
Department of Urban Studies and Planning
May 22, 2008
/Z
Certified by
Ralph Gakenheimer
FAICP Professor of Urban Planning
Thesis Supervisor
Accepted by ... . .....................................................................
Langley Keyes
Chair MCP Committee
I //


Policy Learning:
New Challenges for Smart Value Capture in Colombia
By Patricia Acosta
Submitted to the Department of Urban Studies and Planning
On May 22, 2008, in partial fulfillment of the requirements for the degree of
Master of Science
Abstract.
Contribucibn por Valorizacicn is a form of value capture similar to Special Assessment,
used in Colombia to complement Local revenues for major public infrastructure
programs. SA's continued use countrywide and its resulting technical evolution has,
despite some shortcomings, made it a value capture practice that is internationally
recognized as a noteworthy experience. Participaci6n en Plusvalias is an instrument
recently implemented to capture up to 50% of the increments on land values created by
public actions, similar to betterment levies and unearned increment taxes. This newer,
more complex form of value capture faces important implementation challenges, which
need to be addressed.
The purpose of this study is to evaluate both Special Assessment (SA) and Participation
in Land Value Increments (PLVI), in order to understand what elements of the process of
implementation and consolidation of SA, can inform a strategy to make PLVI a politically
sustainable policy instrument. This study explores how local political economy has
shaped and influenced the development of these two instruments, highlighting that
despite their common conceptual origins, SA and PLVI are significantly different.
Acknowledging these differences, the research unpacks the experience in BogotA with
SA and sheds light on alternate approaches for PLVI's current managers to address the
new instrument's challenging implementation arena.
The findings of the study suggest that for PLVI to evolve and consolidate as a policy
instrument in BogotA, strategic choices that reframe its management as a long term
policy rather than a procedure, must be made. Complementary organizational strategies
to enhance efficiency and to influence broader public support are amongst the valuable
lessons from the experience with SA that underline the importance of a policy's
responsiveness to its implementation arena for its political sustainability.
The evolution of PLVI in BogotA is important, because it will strongly influence its debate
in the rest of the country. For international scholars and decision makers, the
comparative approach to understand the challenges this new chapter of the Colombian
experience with value capture faces, can be useful to assess other policy environments;
while the analysis of each instrument and its relation to the local political and legislative
specificities, can be useful to temper these instrument's understanding.
Thesis Supervisor : Ralph Gakenheimer
FAICP Professor of Urban Planning
Keywords : Participaci6n en Plusvalia, Contribuci6n por Valorizaci6n, Value Capture Instruments, Value Capture
in Latin America, Special Assessment, Participation in Land Value Increments, Unearned Increment Tax,
Betterment Levies, Land Policy Innovations.


Acknowledgements
My deepest gratitude.
To mi patient advisor
Ralph Gakenheimer
To my interviewees:
In the US:
Carolina Barco
Patricia Torres Arzayuz
Martim Smolka
In Colombia:
Francisco Bermidez - Secretaria Distrital de Planeaci6n BogotA
Sandra Forero - Camacol BogotA
Jorge Herndndez
Jos6 Salazar - Universidad Nacional de Colombia. Bogota
Maria Clara Vejarano - Universidad Nacional de Colombia. Bogota
Juan Felipe Pinilla - CIDER
Special Thanks at MIT to:
Cherie Abbanat
Sam Bass
Xavier Briggs
Daphne Gondhalekar
Bish Sanyal
Mark Schuster (in memoriam)
Merilee Grindle (Harvard KSG)
And most especially,
To my family
and my partner through this adventure, Gabi.


Contents
1. Introduction
The
The
The
Challenge
Approach
Lessons
2. A Look at Value Capture
2.1 Conceptual Building Blocks : Where the Value Comes From
2.1.1 Relation Between the Price of Land and the Price of Housing
Additional Unearned Increments in the Informal Land Market
2.1.2 Land Value Capture Instruments
2.1.3 Value Capture on the Policy Agenda
Fiscal and Redistributive Policies
Land Market and Land M",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/BANCO MUNDIAL 2013 Urbanization-Planning-Connecting-Financing.pdf,BANCO MUNDIAL 2013 Urbanization-Planning-Connecting-Financing.pdf,2461233,132,,,"Planning, Connecting, and Financing Cities—Now provides mayors and other policy makers with",,2013,the World Bank’s Urbanization,,9780821398395,10.1596/978-0-,eng,"Planning, Connecting, and Financing Cities—Now provides mayors and other policy makers with 
a policy framework and diagnostic tools to anticipate and implement strategies that can preclude 
their cities from locking into irreversible physical and social structures. At the core of the policy 
framework are three main dimensions of urban development: 
•	 Planning—Charting	a	course	for	cities	by	setting	the	terms	of	urbanization,	especially	policies	
for using urban land and expanding basic infrastructure and public services.
•	 Connecting—Making	a	city’s	markets	(labor,	goods,	and	services)	accessible	to	other	cities	 
and to other neighborhoods.
•	 Financing—Finding	sources	for	large	capital	outlays	needed	to	provide	infrastructure	and	
services	as	cities	grow	and	urbanization	picks	up	speed.
This report also distills lessons from 
prototype	urbanization	diagnostics	
that reflect challenges for countries 
at	the	nascent	level	(Uganda	and	
Vietnam),	intermediate	level	(China,	
India,	and	Indonesia),	and	mature	
level	(Brazil,	Colombia,	Republic	of	
Korea,	and	T urkey)	of	urbanization.	
These	diagnostics,	carried	out	under	
the	World	Bank’s	Urbanization	
Review	program,	have	engaged	
strategic	counterparts,	such	as	those	
in national ministries of finance and 
planning,	to	consider	policy	choices	
that	influence	urbanization	and	 
city development. 
90000
97 80821 39839 5
ISBN 978-0-8213-9839-5
SKU 19839
PlannIng,	ConneCTIng,	and	 F InanCIng	 CITIes—n oW
PlannI ng,
ConneCTIng	&
FInanCIng
CITIes–noW
P RIo RITIes 	F o R	C IT y 	l eadeR s
VALUE land use 
through transparent 
assessment
COORDINATE land use 
with infrastructure, 
natural resources, and 
hazard risk
LEVER AGE competitive 
markets alongside 
regulation to expand 
basic services
VALUE the city’s 
external and internal 
connections
COORDINATE among 
transport options and 
with land use
LEVER AGE investments 
that will generate 
the largest returns—
individually and 
collectively
VALUE and 
develop the city’s 
creditworthiness
COORDINATE public-
private /f_i nance using 
clear, consistent rules
LEVER AGE existing 
assets to develop new 
ones, and link both to 
land use planning
Plan Connec tF inance
Urbanization Policy Framework
Helping City Leaders Address Key Challenges
Improving 
living 
conditions, 
especially 
in slums
Managing
the city’s
physical
form
Creating
jobs
Expanding
the coverage
and quality
of basic
infrastructure
services
Bridging
the divided
city and
fostering
inclusion
 
Planning, Connecting, and
Financing Cities—Now
 
Value land use  
through transparent  
assessment
Coordinate land use 
with infrastructure, 
natural resources, and 
hazard risk
l
eV
erage competitive 
markets alongside 
regulation to expand 
basic services
Value the city’s 
external and internal 
connections
Coordinate among 
transport options and 
with land use
l
eV
erage investments 
that will generate 
the largest returns—
individually and 
collectively
Value and  
develop the city’s 
creditworthiness
Coordinate public-
private finance using 
clear, consistent rules
l
eV
erage existing 
assets to develop new 
ones, and link both to 
land use planning
Plan Connect Finance
Urbanization Policy Framework
Helping City leaders addr ess Key Challenges
im proving  
living  
conditions,  
especially  
in slums
Managing 
the city’s 
physical 
form
Creating 
jobs
ex panding 
the coverage 
and quality 
of basic 
infrastructure 
services
Bridging 
the divided 
city and 
fostering 
inclusion
Planning, Connecting, and
Financing Cities—Now
Priorities for City Leaders
 
THE WORLD BANK
Washington, DC
© 2013 International Bank for Reconstruction and Development / The World Bank
1818 H Street NW, Washington DC 20433
Telephone: 202-473-1000; Internet: www.worldbank.org
Some rights reserved
1 2 3 4  16 15 14 13 
This work is a product of the staff of The World Bank with external contributions. Note that The World 
Bank does not necessarily own each component of the content included in the work. The World Bank 
therefore does not warrant that the use of the content contained in the work will not infringe on the 
rights of third parties. The risk of claims resulting from such infringement rests solely with you.
The findings, interpretations, and conclusions expressed in this work do not necessarily reflect the 
views of The World Bank, its Board of Executive Directors, or the governments they represent. The 
World Bank does not guarantee the accuracy of the data included in this work. The boundaries, colors, 
denominations, and other information shown on any map in this work do not imply any judgment on 
the part of The World Bank concerning the legal status of any territory or the endorsement or acceptance 
of such boundaries.
Nothing herein shall constitute or be considered to be a limitation upon or waiver of the privileges 
and immunities of The World Bank, all of which are specifically reserved.
Rights and Permissions
This work is available under the Creative Commons Attribution 3.0",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/CAF (2014) Creación y captura valor para proyectos de transporte.pdf,CAF (2014) Creación y captura valor para proyectos de transporte.pdf,56287856,282,Microsoft Word - CAF (2014) Creación y captura valor para proyectos de transporte.docx,,Figuras ..................................................................................................................................... 4,,2014,,,,,spa," 
Creación y captura de valor para el desarrollo de 
proyectos de transporte 
Proyecto “La captura de valor como fuente de financiación de la infraestructura de 
transporte público y sostenible en América Latina” 
 
Informe 3: Informe final 
 
Infratrans Consultancy LAC SAS, Juan Felipe Pinilla Pineda 
Junio 10 de 2014 
 
 
 
   
  

Contenido 
 
Figuras ..................................................................................................................................... 4	
Tablas ....................................................................................................................................... 6	
1	 Introducción ..................................................................................................................... 9	
2	 OBJETIVO 1: Revisar las principales referencias teóricas sobre la captura de valor, 
sus implicaciones en términos de bienestar econó mico y equidad y su pertinencia y 
aplicación específica en la financiación de infraestructuras de transporte. ........................... 11	
2.1	 Financiación de infraestructura de transporte ...................................................................... 11	
2.2	 ¿Qué financiar en transporte? .............................................................................................. 14	
2.1	 Instrumentos y fuentes de financiación en transporte .......................................................... 16	
2.1.1	 Impuestos al transporte ................................................................................... 16	
2.1.2	 Impuestos generales ........................................................................................ 17	
2.1.3	 Instrumentos de asignación de precios ............................................................ 17	
2.1.4	 Préstamos y “grants” ....................................................................................... 18	
2.1.5	 Financiación climática ...................................................................................... 19	
2.1.6	 Fuentes generales de ingresos (local, nacional) ................................................ 20	
2.1.7	 Alianzas Público-Privadas ................................................................................. 20	
2.1.8	 Instrumentos de captura de valor del suelo ..................................................... 24	
2.2	 Potencial de la captura de valor como instrumento de financiación de transporte ................ 25	
2.2.1	 Adquirir suelo y construir el sistema de transporte .......................................... 25	
2.2.2	 El impacto de los sistemas de transporte público en precios del suelo: 
algunas evidencias .......................................................................................................... 26	
2.2.3	 Cómo se ha utilizado la captura de valor .......................................................... 30	
2.3	 Captura de Valor: fundamentos conceptuales ...................................................................... 30	
2.3.1	 ¿Qué “valor” es el que se quiere capturar? ...................................................... 30	
2.3.2	 La formación de los precios del suelo ............................................................... 31	
2.3.3	 ¿Cómo se  estima el mayor valor del precio del suelo? ..................................... 33	
2.4	 Captura de valor: tipos de instrumentos............................................................................... 38	
2.4.1	 Instrumentos fiscales ....................................................................................... 39	
2.4.2	 Instrumentos regulatorios ............................................................................... 52	
2.5	 Potencial de instrumentos de captura de valor para financiación de transporte urbano........ 79	
2.6	 Limitaciones en el éxito de implementación de instrumentos ............................................... 82	
3	 OBJETIVO 2: Revisar en detalle experiencias exitosas y no exitosas de captura de 
valor para infraestructura de transporte en seis ciudades de América Latina ........................ 83	
3.1	 Bogotá ................................................................................................................................. 85	
3.1.1	 Análisis jurídico y normativo ............................................................................ 86	
3.1.2	 Políticas de transporte, proyectos y financiación.............................................. 90	
3.1.3	 Proyectos futuros y financiación ...................................................................... 91	
3.1.4	 Fuentes de financiación planeadas para proyectos futuros .............................. 93	
3.1.5	 Estrategias de captura de valor ........................................................................ 94	
3.1.6	 Captura de valor en transporte ........................................................................ 98	
3.1.7	 Limitaciones y aplicabilidad ...............................",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Connolly_et_al-2016-Financial_Accountability_&_Management.pdf,Connolly_et_al-2016-Financial_Accountability_&_Management.pdf,164257,22,Value Capture: A Valid Means of Funding PPPs&#x0003F;,,Value Capture: A Valid Means of Funding PPPs&#x0003F;,an appraisal process that was subject to excessive gaming. Shaoul (2005) also,2016,∗The authors are respectively from Queen’s University Belfast and the University of Ulster.,,,,eng,"Financial Accountability & Management , 32(2), May 2016, 0267-4424
Value Capture: A Valid Means of
Funding PPPs?
CIARAN CONNOLLY AND ANTHONY WALL∗
Abstract: This paper considers the use of value capture (VC) as a means of
financing public-private partnerships (PPPs) in the United Kingdom (UK). Although
some VC techniques are used in the UK, they are employed more widely in the United
States of America. After considering the traditional approach to financing UK PPPs,
this paper describes the main VC finance instruments. The findings of a series of
case studies are then presented and conclusions drawn. While VC financing may
prove unpopular with those bearing the cost of infrastructure improvements, it is
recommended that such instruments are considered by UK policy makers.
Keywords: value capture, public-private partnerships, infrastructure improvements
INTRODUCTION
The funding of infrastructure projects has become increasingly complex,
particularly in the last two decades. Previously, such projects were typically
funded directly by government, with contributions from users either directly
or indirectly (e.g., with respect to transit-related projects through fares, fuel
taxes and vehicle registration). The issue of who should pay is important, and
if the paradigm is that improvements only result in increased user convenience
then users should bear the cost. However, the benefits are often wider (e.g.,
new schools or improved transit links may lead to capital gains accruing to
property owners). Moreover, the financing issue is complicated by factors such
as environmental impact costs and to what extent these should be borne by
future generations.
Recent years have seen greater private sector involvement in the funding of
public sector infrastructure projects, together with their design, construction and
operation through Private Finance Initiative (PFI)/Public Private Partnership
∗The authors are respectively from Queen’s University Belfast and the University of Ulster.
Address for correspondence: Ciaran Connolly, Queen’s University Management School,
Queen’s University Belfast, 185 Stranmillis Road, Belfast BT9 5EE, Northern Ireland.
e-mail: c.j.connolly@qub.ac.uk
C© 2016 John Wiley & Sons Ltd
157
158 CONNOLLY AND WALL
(PPP) contracts. Although there are a variety of arrangements that fall
under the PPP umbrella, the most controversial remain those containing PFI
characteristics. The use of private money to finance public sector infrastructure,
such as schools and hospitals, was deemed to be flawed from the outset as public
money was cheaper to borrow. However, the proponents of utilising private
funding maintained that efficiencies gained in the construction and operating
phases of the contract would compensate for higher interest rates. Moreover, the
availability of private finance meant more projects could be undertaken than
under conventional procurement; although this latter argument is weakened
with the economic recession and the reluctance of banks to lend.
This paper examines value capture (VC), a method employed in the United
States of America (USA) which has gained popularity in recent years, particularly
with respect to the repayment of transit PPP finance, because it is perceived
as being socially equitable since it transfers some of the financial burden to
users and others who will benefit from the new or improved infrastructure.
In terms of format, the paper begins with an overview of the financing of
PPPs. This is followed by a discussion of value creation and VC, including the
main VC instruments. After outlining the methodology, four case studies that
have employed various VC instruments are presented and discussed. Finally,
conclusions are drawn.
THE FINANCING OF PUBLIC PRIVATE PARTNERSHIPS
Criticising the use of PPPs, and its forerunner the PFI, has been the focus of
many UK studies (e.g., Edwards and Shaoul, 2003; Broadbent et al., 2008; and
Pollock and Price, 2008). The number and value of UK projects grew steadily
until 2007 (Her Majesty’s Treasury (HMT), 2006) when the banking crisis began
to impact upon lending. Traditionally, major PPP projects that availed of private
finance used a combination of debt and equity with their respective mix typically
being 90% and 10%. 1 Initially, the debt consisted of bank lending and bonds, the
latter being backed by the monoline industry 2 which guaranteed repayment if
an issuer defaulted. However, following the 2007 housing market decline, this
industry collapsed resulting in the closure of the wrapped bond market (BBC,
2009). Consequently, the only viable source of finance for infrastructure projects
was banks; however, the demise of Lehman Brothers in September 2008 meant
the global lending market dried up as interbank confidence fell (Connolly and
Wall, 2011).
Notwithstanding the aforementioned criticisms, two significant characteris-
tics of PFI may explain its ongoing attractiveness (Gregory and Dawber, 2012).
Firstly, while accounting rule c",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Curso Captura Valor Conclusiones  20180921.pdf,Curso Captura Valor Conclusiones  20180921.pdf,472149,16,CFP notes,Carlosfelipe Pardo,CFP notes,Carlosfelipe Pardo,,"con las de orden nacional, (DNP , el Ministerio de",,,,spa,"Estrategias y mejores 
prácticas en captura de valor 
inmobiliario para mega 
proyectos de transporte 
masivo:
Conclusiones y 
recomendaciones

Conclusiones y 
recomendaciones
1. Temas claves a afrontar
2. Pasos sugeridos para avanzar en el corto plazo 
3. Potencial futuro
4. Recomendaciones
1. Temas claves a afrontar
Coordinación y 
comunicación
La EMB como líder y articulador del 
diseño de los instrumentos de 
captura de valor y de la estrategia 
de implementación
• Articular la acción con las entidades del distrito 
capital (Secretarías de Planeación y Hacienda), junto 
con las de orden nacional, (DNP , el Ministerio de 
Hacienda y el de Transporte)
• Vincular el interés de actores del sector financiero e 
inmobiliario.
• Ejemplo: MRTC - Mass Transit Railway Corpotation 
(Hong Kong) 
• Gran articulador y coordinador de actores públicos y 
privados
• Fortaleza institucional, su capacidad de obtener los 
resultados propuestos y a tiempo.
• Generar interés y rentabilidades en desarrollares e 
inversionistas, al plantear esquemas de negocios rentables
1. Temas claves a afrontar
Generación de 
confianza y de reglas 
claras y explícitas
Seguridad jurídica para atraer 
desarrolladores y actores del sector 
financiero.
Definición de roles y alcances para el 
desarrollo de los instrumentos de 
captura, tanto por la misma EMB, como 
de las demás entidades Distritales
• Definición de una normatividad clara y de 
instrumentos y estrategias de captura de valor 
consistentes, robustos y estables.
• Estabilidad jurídica: genera confianza, 
participación de los actores privados y flujo de 
recursos para la ciudad. 
• La EMB como empresa joven debe ser eficiente 
y confiable en su actuar para que motive la 
participación de actores privados
1. Temas claves a afrontar
Disponibilidad de 
recursos financieros
Para la adquisición de predios 
con propósitos de desarrollo 
urbano, no sólo por la falta de 
disponibilidad recurso del 
gobierno nacional, sino por la 
carencia de nuevas fuentes 
inmediatas 
• FDN y la banca multilateral, como la CAF, pueden 
ayudar a estructurar un fondo de capital privado, 
con un modelo de gobierno corporativo, que 
permita atraer inversionistas privados.
• Un fondo que canalice recursos de capital para la 
financiación de la infraestructura para sistemas 
como el metro de Bogotá
• Los recursos pueden ser dirigidos para la 
adquisición de predios y suelos. Quizás también 
para la conformación de un banco de tierras en un 
futuro dado (Ej.MRTC en Hong Kong)
2. Pasos sugeridos para avanzar 
en el corto plazo
Empresa metro como inmobiliaria
Creación de un fondo temporal, complementario 
a la subasta de derechos de edificabilidad
Manual DOT
**
*
2. Pasos sugeridos para avanzar 
en el corto plazo
Empresa metro 
como inmobiliaria
Profundizar y estructurar 
técnicamente cuanto antes, para 
lograr con éxito el diseño e 
implementación de los mecanismos 
de captura de valor.
• El ejemplo de MRTC: seguir modelo de la 
administración de propiedad exclusiva de los 
desarrollos construidos dentro del área de creación 
de valor de la infraestructura férrea que está sobre 
las estaciones y alrededor de ella
• Esto puede garantizar a la EMB una participación y 
acceso a más recursos y rendimientos en el 
mercado inmobiliario
• La EMB puede definir un portafolio de negocios e 
inversiones que le permita apalancar inversiones de 
infraestructura, adquisición de suelo, o expansiones 
futuras del sistema
2. Pasos sugeridos para avanzar 
en el corto plazo
Creación de un fondo 
temporal, 
complementario a la 
subasta de derechos de 
edificabilidad
La creación de este fondo temporal 
podría mejorar la capacidad de la EMB 
para comprar y adquirir suelo por su 
cuenta, o para pagar la compensación 
por la expropiación de la tierra.
• La EMB compraría el suelo ""sin la infraestructura 
férrea y sin aumentar el índice de construcción"" y 
podría vender estas propiedades a los 
desarrolladores privados a precios con un valor que 
incluye ""la infraestructura ferroviaria más los 
índices de construcción“,
• La EMB podría decidir vender sólo una parte del 
terreno a los desarrolladores y utilizar los 
rendimientos de este negocio para pagar préstamos 
y desarrollar otras propiedades por sí misma.
• Esto permitiría a ala EMB recibir ingresos por 
alquiler, en largo plazo, en lugar de una ganancia 
imprevista en un futuro cercano.
• Para ello, se debe estructurar un plan de negocios 
que financie dicho fondo temporal, acompañado de 
negociaciones con entidades del sector financiero 
como la FDN y con bancos multilaterales.",
