local_folder,local_path,filename,detected_title,detected_author,isbn_10,isbn_13,doi,ocaid,lccn,year,publisher,ol_work_key,ol_edition_key,ol_title,ol_author,confidence,status,notes,candidates_json,create_record
Atlas de Accesibilidad y Conectividad,5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_introduccion.pdf,atlas_introduccion.pdf,Atlas de Accesibilidad y Conectividad de la Zona Metropolitana del Valle de México,Centro de Transporte Sustentable de México A.C.,,,,,,2010,Centro de Transporte Sustentable de México A.C.,/works/OL45930555W,/books/OL62489548M,,,1.000,APPROVED,Created after explicit create_record=YES review,,YES
Atlas de Accesibilidad y Conectividad,5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion1_generalidades.pdf,atlas_seccion1_generalidades.pdf,Atlas de Accesibilidad y Conectividad de la Zona Metropolitana del Valle de México,Centro de Transporte Sustentable de México A.C.,,,,,,2010,Centro de Transporte Sustentable de México A.C.,,,,,1.000,PARENT_COMPONENT,The five local PDFs are named sections of one verified parent atlas; do not treat them as five books,,YES
Atlas de Accesibilidad y Conectividad,5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion2_sociodemografico.pdf,atlas_seccion2_sociodemografico.pdf,Atlas de Accesibilidad y Conectividad de la Zona Metropolitana del Valle de México,Centro de Transporte Sustentable de México A.C.,,,,,,2010,Centro de Transporte Sustentable de México A.C.,,,,,1.000,PARENT_COMPONENT,The five local PDFs are named sections of one verified parent atlas; do not treat them as five books,,YES
Atlas de Accesibilidad y Conectividad,5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion3_sociodeconomico.pdf,atlas_seccion3_sociodeconomico.pdf,Atlas de Accesibilidad y Conectividad de la Zona Metropolitana del Valle de México,Centro de Transporte Sustentable de México A.C.,,,,,,2010,Centro de Transporte Sustentable de México A.C.,,,,,1.000,PARENT_COMPONENT,The five local PDFs are named sections of one verified parent atlas; do not treat them as five books,,YES
Atlas de Accesibilidad y Conectividad,5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion4_proximidad_peatonal_movilidadnomotorizada.pdf,atlas_seccion4_proximidad_peatonal_movilidadnomotorizada.pdf,Atlas de Accesibilidad y Conectividad de la Zona Metropolitana del Valle de México,Centro de Transporte Sustentable de México A.C.,,,,,,2010,Centro de Transporte Sustentable de México A.C.,,,,,1.000,PARENT_COMPONENT,The five local PDFs are named sections of one verified parent atlas; do not treat them as five books,,YES
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/ACOSTA PATRICIA 2008 Policy Learningn new Challenges for Smart Value capture in colombia.pdf,ACOSTA PATRICIA 2008 Policy Learningn new Challenges for Smart Value capture in colombia.pdf,Policy Learning: New Challenges for Smart Value Capture in Colombia,Patricia Acosta,,,,,,2008,Massachusetts Institute of Technology,/works/OL45930556W,/books/OL62489549M,Presidential leadership and the reform of fiscal policy,Robert P. Inman,1.000,APPROVED,Created after explicit create_record=YES review,"[{""work_key"": ""/works/OL5892045W"", ""title"": ""Presidential leadership and the reform of fiscal policy"", ""author"": [""Robert P. Inman""], ""score"": 0.201}]",YES
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/BANCO MUNDIAL 2013 Urbanization-Planning-Connecting-Financing.pdf,BANCO MUNDIAL 2013 Urbanization-Planning-Connecting-Financing.pdf,"Planning, Connecting, and Financing Cities—Now provides mayors and other policy makers with",,,9780821398395,10.1596/978-0-,,,2013,the World Bank’s Urbanization,/works/OL23221866W,/books/OL31057229M,"Planning, connecting, and financing cities--now",Somik V. Lall,0.995,MATCHED,exact ISBN; title=0.95; author=0.00; publisher=0.51; year=exact; runner_up=0.00; margin=0.99,"[{""work_key"": ""/works/OL23221866W"", ""title"": ""Planning, connecting, and financing cities--now"", ""author"": [""Somik V. Lall""], ""score"": 0.995}]",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/CAF (2014) Creación y captura valor para proyectos de transporte.pdf,CAF (2014) Creación y captura valor para proyectos de transporte.pdf,"Creación y captura de valor para el desarrollo de proyectos de transporte: Informe 3, informe final",Infratrans Consultancy LAC SAS; Juan Felipe Pinilla Pineda,,,,,,2014,CAF,,,,,1.000,ALTERNATE_EDITION,"Local consultant-report title page verifies the June 2014 version; it is the earlier final project report underlying the verified 2019 CAF book, so it is grouped as an alternate edition of the same intellectual work",,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Connolly_et_al-2016-Financial_Accountability_&_Management.pdf,Connolly_et_al-2016-Financial_Accountability_&_Management.pdf,Value Capture: A Valid Means of Funding PPPs?,Ciaran Connolly; Anthony Wall,,,,,,2016,Wiley,,,,,1.000,VERIFIED_NONBOOK,"Queen's University Belfast research record and Wiley DOI page verify the journal article title, authors, year, journal, pages, publisher, and DOI",,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Curso Captura Valor Conclusiones  20180921.pdf,Curso Captura Valor Conclusiones  20180921.pdf,Estrategias y mejores prácticas en captura de valor inmobiliario para mega proyectos de transporte masivo: conclusiones y recomendaciones,Carlos Felipe Pardo,,,,,,2018,Despacio,/works/OL45931466W,/books/OL62490660M,,,1.000,APPROVED,Created after explicit create_record=YES review,,YES
