local_folder,local_path,filename,previous_status,verification_status,source,document_type,canonical_title,canonical_author,canonical_publisher,canonical_year,doi,ocaid,lccn,isbn_10,isbn_13,external_url,ol_work_key,ol_edition_key,confidence,duplicate_of_path,parent_publication_id,publication_role,notes,candidates_json
Atlas de Accesibilidad y Conectividad,5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_introduccion.pdf,atlas_introduccion.pdf,NOT_FOUND,PARENT_COMPONENT,verified_manifest,report,Atlas de Accesibilidad y Conectividad de la Zona Metropolitana del Valle de México,Centro de Transporte Sustentable de México A.C.,Centro de Transporte Sustentable de México A.C.,2010,,,,,,https://wrimexico.org/sites/default/files/Informe%20Institucional%20WRI.pdf,,,1.000,,atlas-accessibility-zmvm-2010,COMPONENT,The five local PDFs are named sections of one verified parent atlas; do not treat them as five books,
Atlas de Accesibilidad y Conectividad,5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion1_generalidades.pdf,atlas_seccion1_generalidades.pdf,NOT_FOUND,PARENT_COMPONENT,verified_manifest,report,Atlas de Accesibilidad y Conectividad de la Zona Metropolitana del Valle de México,Centro de Transporte Sustentable de México A.C.,Centro de Transporte Sustentable de México A.C.,2010,,,,,,https://wrimexico.org/sites/default/files/Informe%20Institucional%20WRI.pdf,,,1.000,,atlas-accessibility-zmvm-2010,COMPONENT,The five local PDFs are named sections of one verified parent atlas; do not treat them as five books,
Atlas de Accesibilidad y Conectividad,5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion2_sociodemografico.pdf,atlas_seccion2_sociodemografico.pdf,NOT_FOUND,PARENT_COMPONENT,verified_manifest,report,Atlas de Accesibilidad y Conectividad de la Zona Metropolitana del Valle de México,Centro de Transporte Sustentable de México A.C.,Centro de Transporte Sustentable de México A.C.,2010,,,,,,https://wrimexico.org/sites/default/files/Informe%20Institucional%20WRI.pdf,,,1.000,,atlas-accessibility-zmvm-2010,COMPONENT,The five local PDFs are named sections of one verified parent atlas; do not treat them as five books,
Atlas de Accesibilidad y Conectividad,5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion3_sociodeconomico.pdf,atlas_seccion3_sociodeconomico.pdf,NOT_FOUND,PARENT_COMPONENT,verified_manifest,report,Atlas de Accesibilidad y Conectividad de la Zona Metropolitana del Valle de México,Centro de Transporte Sustentable de México A.C.,Centro de Transporte Sustentable de México A.C.,2010,,,,,,https://wrimexico.org/sites/default/files/Informe%20Institucional%20WRI.pdf,,,1.000,,atlas-accessibility-zmvm-2010,COMPONENT,The five local PDFs are named sections of one verified parent atlas; do not treat them as five books,
Atlas de Accesibilidad y Conectividad,5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion4_proximidad_peatonal_movilidadnomotorizada.pdf,atlas_seccion4_proximidad_peatonal_movilidadnomotorizada.pdf,NOT_FOUND,PARENT_COMPONENT,verified_manifest,report,Atlas de Accesibilidad y Conectividad de la Zona Metropolitana del Valle de México,Centro de Transporte Sustentable de México A.C.,Centro de Transporte Sustentable de México A.C.,2010,,,,,,https://wrimexico.org/sites/default/files/Informe%20Institucional%20WRI.pdf,,,1.000,,atlas-accessibility-zmvm-2010,COMPONENT,The five local PDFs are named sections of one verified parent atlas; do not treat them as five books,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/ACOSTA PATRICIA 2008 Policy Learningn new Challenges for Smart Value capture in colombia.pdf,ACOSTA PATRICIA 2008 Policy Learningn new Challenges for Smart Value capture in colombia.pdf,NOT_FOUND,CREATE_CANDIDATE,verified_manifest,dissertation,Policy Learning: New Challenges for Smart Value Capture in Colombia,Patricia Acosta,Massachusetts Institute of Technology,2008,,,,,,https://hdl.handle.net/1721.1/44373,,,1.000,,acosta-policy-learning-2008,PUBLICATION,"MIT thesis metadata and the thesis title page verify the canonical title, author, institution, degree, and May 2008 date",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/BANCO MUNDIAL 2013 Urbanization-Planning-Connecting-Financing.pdf,BANCO MUNDIAL 2013 Urbanization-Planning-Connecting-Financing.pdf,MATCHED,ALREADY_MATCHED,openlibrary,,"Planning, connecting, and financing cities--now",Somik V. Lall,,,10.1596/978-0-,,,,9780821398395,,/works/OL23221866W,/books/OL31057229M,0.995,,,,,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/CAF (2014) Creación y captura valor para proyectos de transporte.pdf,CAF (2014) Creación y captura valor para proyectos de transporte.pdf,NOT_FOUND,ALTERNATE_EDITION,verified_manifest,consultant-report,"Creación y captura de valor para el desarrollo de proyectos de transporte: Informe 3, informe final",Infratrans Consultancy LAC SAS; Juan Felipe Pinilla Pineda,CAF,2014,,,,,,https://scioteca.caf.com/handle/123456789/1404,,,1.000,,caf-value-capture-transport-2019,ALTERNATE_EDITION,"Local consultant-report title page verifies the June 2014 version; it is the earlier final project report underlying the verified 2019 CAF book, so it is grouped as an alternate edition of the same intellectual work",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Connolly_et_al-2016-Financial_Accountability_&_Management.pdf,Connolly_et_al-2016-Financial_Accountability_&_Management.pdf,NOT_FOUND,VERIFIED_NONBOOK,verified_manifest,article,Value Capture: A Valid Means of Funding PPPs?,Ciaran Connolly; Anthony Wall,Wiley,2016,10.1111/faam.12083,,,,,https://pure.qub.ac.uk/en/publications/value-capture-a-valid-means-of-funding-ppps/,,,1.000,,connolly-wall-value-capture-ppps-2016,NONBOOK,"Queen's University Belfast research record and Wiley DOI page verify the journal article title, authors, year, journal, pages, publisher, and DOI",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Curso Captura Valor Conclusiones  20180921.pdf,Curso Captura Valor Conclusiones  20180921.pdf,NOT_FOUND,VERIFIED_NONBOOK,verified_manifest,presentation,Estrategias y mejores prácticas en captura de valor inmobiliario para mega proyectos de transporte masivo: conclusiones y recomendaciones,Carlos Felipe Pardo,Despacio,2018,,,,,,,,,1.000,,curso-captura-valor-2018-conclusiones,NONBOOK,"Closing slide deck of the CAF-FDN value capture course held in Bogotá 27-30 August 2018; slide 1 and the embedded PDF author verify title and authorship, and the companion final report in the same folder verifies the course dates; a presentation, not an Open Library book",
