verdict,ol_key,doc_type,title,author,year,match,local_work_id
NONE,,journal-article,The reshaping of land use and urban form in Denver through transit-oriented development,Keith A. Ratner; Andrew R. Goetz,2013,,OLP-6DB7EA4A07773151
NONE,,journal-article,Establishing the conditions for effective transit-oriented development in China: the case of Dalian,Rui Mu; Martin de Jong,2012,,OLP-F47CC86BC598669A
NONE,,journal-article,Capitalization of BRT network expansions effects into prices of non-expansion areas,Daniel A. Rodríguez; Carlos H. Mojica,2009,,OLP-8A78778A1392DEDD
PARTIAL,/works/OL33197492W,journal-article,"Walking accessibility to bus rapid transit: Does it affect property values? The case of Bogotá, Colombia",Ramon Munoz-Raskin,2010,Walking accessibility to bus rapid transit | Ramon C. Munoz-Raskin,OLP-8AD090A8A0C9E528
NONE,,journal-article,Transit-oriented development and gentrification: a systematic review,Miguel Padeiro; Ana Louro; Nuno Marques da Costa,2019,,OLP-0FCF4A92675AB64E
NONE,,journal-article,A methodological proposal to estimate changes of residential property value: case study developed in Bogotá,Jorge A. Perdomo,2011,,OLP-E4865A5A59DD2880
NONE,,journal-article,Transportation Oriented Development Method: literature review,Julio Vega; Robinson Balcázar; Xavier Guerra,2023,,OLP-2B74183125A5B44B
NONE,,journal-article,Land value capture mechanisms in Hong Kong and Singapore,Eddie Chi‐Man Hui; Vivian Sze‐Mun Ho; David Kim‐Hin Ho,2004,,OLP-394BD7E184699A63
NONE,,journal-article,Financing Transit Systems Through Value Capture,Jeffery J. Smith; Thomas A. Gihring,2006,,OLP-9E1735A37AC794F1
NONE,,journal-article,"Estaciones como nodos y lugares: el potencial del tren para el desarrollo urbano orientado al transporte en Santiago, Chile",Giovanni Vecchio,2021,,OLP-5CCF7F50FA036425
NONE,,journal-article,"Factores determinantes de la relación entre la localización de las empresas, la dinámica del transporte público tipo BRT y el desarrollo urbano",Diego Rafael Roberto Cabrera-Moya,2022,,OLP-FF64695BFF73641D
NONE,,journal-article,A SPATIO-TEMPORAL VISUAL ANALYTICS TOOL FOR SIMULATED TRANSPORT ORIENTED-LAND USE URBAN PLANNING DATA,,2022,,OLP-222CEE8A9EDED40C
NONE,,journal-article,Bus rapid transit impacts on land uses and development over time in Bogotá and Quito,C. Erik Vergel-Tovar; Daniel A. Rodriguez,2022,,OLP-2105907BF1D027D1
NONE,,proceedings-article,Valoración del entorno de una estación ferroviaria inactiva mediante estándar DOT: avance metodológico para el caso del Gran Santa Fe (Argentina),María Alejandra Saus; Andrés Ignacio Aguirre,2022,,OLP-AFAB59165588CEBC
NONE,,journal-article,"Entorno urbano, densidad poblacional y uso del Sistema de Autobuses de Transporte Rápido en Quito",Alba Núñez,2023,,OLP-D0DCBDFD40A25E71
NONE,,article,Instrumentos de financiación del desarrollo urbano en Colombia: la contribución por valorización y la participación en plusvalías. Lecciones y reflexiones,Patricia Acosta Restrepo,2010,,OLP-8626997ABCDFB9BA
NONE,,proceedings-article,Las diferencias en la aplicación de instrumentos de planificación y,Fabián Alberto Díaz; Vanessa Velasco Bernal,2011,,OLP-FA52DE6F26DB5017
NONE,,presentation,Improving Coordination of Transportation and Land-Use Planning in Latin American Cities: overcoming the barriers,Arturo Ardila,2006,,OLP-271A3923F43E58F6
NONE,,map,CG-7 Actuaciones Estratégicas,Secretaría Distrital de Planeación de Bogotá,2021,,OLP-96C978E03B2B52BD
NONE,,legal-document,Resolución 0958 de 2023: Directrices para la formulación de la Actuación Estratégica Chucua La Vaca,Secretaría Distrital de Planeación de Bogotá,2023,,OLP-677C7DA09DD3A7D4
NONE,,presentation,Formulación de los lineamientos y recomendaciones de política para la implementación de iniciativas de Desarrollo Orientado al Transporte Sostenible (DOTS) en Colombia: presentación general del proyecto,Consorcio SIGMA Gestión de Proyectos – Despacio,2020,,OLP-59D9B227F6C05028
NONE,,registry-record,NS-127 – Colombia TOD NAMA: NAMA seeking support for implementation,Findeter; Center for Clean Air Policy,2015,,OLP-9B101C515AEDDC0F
NONE,,article,Value Capture: A Valid Means of Funding PPPs?,Ciaran Connolly; Anthony Wall,2016,,OLP-C85942E9DBEFF98B
NONE,,presentation,Estrategias y mejores prácticas en captura de valor inmobiliario para mega proyectos de transporte masivo: conclusiones y recomendaciones,Carlos Felipe Pardo,2018,,OLP-52F1B58424ED5562
NONE,,planning-document,Columbia Heights Public Realm Framework,Zimmer Gunsul Frasca Partnership,2004,,OLP-61DE92D2F42ACDEE
NONE,,legal-document,"Decreto 497 de 2023, por el cual se adopta el Plan de Movilidad Sostenible y Segura (PMSS) para Bogotá Distrito Capital y se dictan otras disposiciones","Alcaldía Mayor de Bogotá, D.C.",2023,,OLP-5D625A487C75BB25
NONE,,article,"Houses, Apartments, and the Incidence of Property Taxes",Jack Goodman,2006,,OLP-F5338AD4F9D7F733
NONE,,presentation,Estrategias de captura de valor para financiar la construcción del metro de Bogotá: instrumentos y potencial,Luis A. Guzmán; Daniel Páez; Oscar Borrero,2012,,OLP-27586CE5990FBBC5
NONE,,serial-issue,"Land Lines, January 2010",Ann LeRoyer,2010,,OLP-0D1DB5E59906057D
NONE,,serial-issue,"Land Lines, July 2008",Ann LeRoyer,2008,,OLP-8B1BF0C7C27E77D4
NONE,,article,Una nueva mirada a la recuperación de plusvalías en América Latina,Martim O. Smolka,2012,,OLP-73CDBB96E8BF73B1
NONE,,newspaper-article,Legislature Takes Aim at Urban Sprawl and Global Warming,Margot Roosevelt,2008,,OLP-9180F5907316D4A5
NONE,,newspaper-article,The Simple Way to End Land Hoarding,Jerry Jones,2006,,OLP-3A816D5673C1F420
NONE,,news-article,Sprawling Cities Getting Hotter Faster,OurAmazingPlanet Staff,2010,,OLP-C76EFDCDC70133F6
NONE,,web-capture,Centro San Bernardo – Plan Parcial,RenoBo - Empresa de Renovación y Desarrollo Urbano de Bogotá D.C.,2024,,OLP-0F372063BFF2D071
NONE,,legal-document,"Proyecto de Acuerdo del Plan de Ordenamiento Territorial de Bogotá D.C. presentado al Concejo de Bogotá, septiembre de 2021","Alcaldía Mayor de Bogotá, D.C.; Secretaría Distrital de Planeación",2021,,OLP-B9EBCD2A5F341487
NONE,,article,Desarrollo Orientado al Transporte Sostenible (DOTS): Una prospectiva para Colombia,Julián Rodrigo Quintero González,2019,,OLP-63840B009ADD2066
NONE,,article,Revisão bibliográfica comentada dos fundamentos da Outorga Onerosa do Direito de Construir – OODC,Vera F. Rezende; Fernanda Furtado; M. Teresa C. Oliveira; Pedro Jorgensen Jr.,2011,,OLP-020A67635190BDE7
NONE,,article,"Aportes para a melhoria da gestão do transporte público por ônibus de Bogotá, a partir das experiências de Belo Horizonte e Curitiba",Fernando Rojas Parra,2006,,OLP-B2DDC90F423B5844
NONE,,article,Recuperación de plusvalías para el desarrollo urbano: una comparación inter-americana,Martim O. Smolka; David Amborski,2003,,OLP-4321B84409E4C4E0
NONE,,presentation,Corredor Verde – TOD NAMA Cali: proyecto Sendero ecológico Río Lili,Hanae Tanaka,2018,,OLP-ACA53318940E8516
NONE,,presentation,TOD NAMA Manizales: Renace el Centro,Findeter; Alcaldía de Manizales,2021,,OLP-00C26896F1C3DC3A
NONE,,article,Land Use and Transport: Research and Policy Challenges,Bert van Wee,2002,,OLP-F38EF1AE1F13DEDF
NONE,,article,"¿Es la densidad suficiente? Análisis de la relación entre la densidad poblacional y la demanda de pasajeros en los sistemas de transporte público masivo tipo BRT (Bus Rapid Transit) en Curitiba, Quito y Bogotá",C. Erik Vergel-Tovar,2019,,OLP-2E9C2B9EC45A6B28
NONE,,presentation,WMATA Transit-Oriented Development in Maryland,Washington Metropolitan Area Transit Authority,2013,,OLP-E0E07EC9B49B55E4
