local_work_id,local_folders,local_pdf_count,canonical_title,canonical_author,canonical_publisher,canonical_year,document_type,verification_status,ol_work_key,external_url,primary_identifier_type,primary_identifier,openlibrary_eligibility,preparation_status,missing_metadata,suggested_queries,notes
OLP-6DB7EA4A07773151,DOTS Europa & Estados Unidos,1,The reshaping of land use and urban form in Denver through transit-oriented development,Keith A. Ratner; Andrew R. Goetz,Elsevier BV,2013,journal-article,VERIFIED_EXTERNAL,,https://doi.org/10.1016/j.cities.2012.08.007,doi,10.1016/j.cities.2012.08.007,OUTSIDE_BOOK_CATALOG_SCOPE,KEEP_EXTERNAL_OR_LOCAL,,"""The reshaping of land use and urban form in Denver through transit-oriented development"" | ""The reshaping of land use and urban form in Denver through transit-oriented development"" ""Keith A. Ratner""",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-F47CC86BC598669A,DOTS Asia,1,Establishing the conditions for effective transit-oriented development in China: the case of Dalian,Rui Mu; Martin de Jong,Elsevier BV,2012,journal-article,VERIFIED_EXTERNAL,,https://doi.org/10.1016/j.jtrangeo.2012.02.010,doi,10.1016/j.jtrangeo.2012.02.010,OUTSIDE_BOOK_CATALOG_SCOPE,KEEP_EXTERNAL_OR_LOCAL,,"""Establishing the conditions for effective transit-oriented development in China: the case of Dalian"" | ""Establishing the conditions for effective transit-oriented development in China: the case of Dalian"" ""Rui Mu""",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-8A78778A1392DEDD,Captura de valor,1,Capitalization of BRT network expansions effects into prices of non-expansion areas,Daniel A. Rodríguez; Carlos H. Mojica,Elsevier BV,2009,journal-article,VERIFIED_EXTERNAL,,https://doi.org/10.1016/j.tra.2009.02.003,doi,10.1016/j.tra.2009.02.003,OUTSIDE_BOOK_CATALOG_SCOPE,KEEP_EXTERNAL_OR_LOCAL,,"""Capitalization of BRT network expansions effects into prices of non-expansion areas"" | ""Capitalization of BRT network expansions effects into prices of non-expansion areas"" ""Daniel A. Rodríguez""",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-8AD090A8A0C9E528,Captura de valor,1,"Walking accessibility to bus rapid transit: Does it affect property values? The case of Bogotá, Colombia",Ramon Munoz-Raskin,Elsevier BV,2010,journal-article,VERIFIED_EXTERNAL,,https://doi.org/10.1016/j.tranpol.2009.11.002,doi,10.1016/j.tranpol.2009.11.002,OUTSIDE_BOOK_CATALOG_SCOPE,KEEP_EXTERNAL_OR_LOCAL,,"""Walking accessibility to bus rapid transit: Does it affect property values? The case of Bogotá, Colombia"" | ""Walking accessibility to bus rapid transit: Does it affect property values? The case of Bogotá, Colombia"" ""Ramon Munoz-Raskin""",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-0FCF4A92675AB64E,DOTS América Latina,1,Transit-oriented development and gentrification: a systematic review,Miguel Padeiro; Ana Louro; Nuno Marques da Costa,Informa UK Limited,2019,journal-article,VERIFIED_EXTERNAL,,https://doi.org/10.1080/01441647.2019.1649316,doi,10.1080/01441647.2019.1649316,OUTSIDE_BOOK_CATALOG_SCOPE,KEEP_EXTERNAL_OR_LOCAL,,"""Transit-oriented development and gentrification: a systematic review"" | ""Transit-oriented development and gentrification: a systematic review"" ""Miguel Padeiro""",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-E4865A5A59DD2880,Captura de valor,1,A methodological proposal to estimate changes of residential property value: case study developed in Bogotá,Jorge A. Perdomo,Informa UK Limited,2011,journal-article,VERIFIED_EXTERNAL,,https://doi.org/10.1080/13504851.2011.554360,doi,10.1080/13504851.2011.554360,OUTSIDE_BOOK_CATALOG_SCOPE,KEEP_EXTERNAL_OR_LOCAL,,"""A methodological proposal to estimate changes of residential property value: case study developed in Bogotá"" | ""A methodological proposal to estimate changes of residential property value: case study developed in Bogotá"" ""Jorge A. Perdomo""",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-2B74183125A5B44B,DOTS América Latina,1,Transportation Oriented Development Method: literature review,Julio Vega; Robinson Balcázar; Xavier Guerra,IOP Publishing,2023,journal-article,VERIFIED_EXTERNAL,,https://doi.org/10.1088/1755-1315/1141/1/012002,doi,10.1088/1755-1315/1141/1/012002,OUTSIDE_BOOK_CATALOG_SCOPE,KEEP_EXTERNAL_OR_LOCAL,,"""Transportation Oriented Development Method: literature review"" | ""Transportation Oriented Development Method: literature review"" ""Julio Vega""",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-394BD7E184699A63,Captura de valor,1,Land value capture mechanisms in Hong Kong and Singapore,Eddie Chi‐Man Hui; Vivian Sze‐Mun Ho; David Kim‐Hin Ho,Emerald,2004,journal-article,VERIFIED_EXTERNAL,,https://doi.org/10.1108/14635780410525153,doi,10.1108/14635780410525153,OUTSIDE_BOOK_CATALOG_SCOPE,KEEP_EXTERNAL_OR_LOCAL,,"""Land value capture mechanisms in Hong Kong and Singapore"" | ""Land value capture mechanisms in Hong Kong and Singapore"" ""Eddie Chi‐Man Hui""",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-9E1735A37AC794F1,Captura de valor,1,Financing Transit Systems Through Value Capture,Jeffery J. Smith; Thomas A. Gihring,Wiley,2006,journal-article,VERIFIED_EXTERNAL,,https://doi.org/10.1111/j.1536-7150.2006.00474.x,doi,10.1111/j.1536-7150.2006.00474.x,OUTSIDE_BOOK_CATALOG_SCOPE,KEEP_EXTERNAL_OR_LOCAL,,"""Financing Transit Systems Through Value Capture"" | ""Financing Transit Systems Through Value Capture"" ""Jeffery J. Smith""",Near-exact long-title search recovered authoritative Crossref DOI metadata for a non-book publication
OLP-5CCF7F50FA036425,DOTS América Latina,1,"Estaciones como nodos y lugares: el potencial del tren para el desarrollo urbano orientado al transporte en Santiago, Chile",Giovanni Vecchio,Universidad del Bio Bio,2021,journal-article,VERIFIED_EXTERNAL,,https://doi.org/10.22320/07183607.2021.24.43.08,doi,10.22320/07183607.2021.24.43.08,OUTSIDE_BOOK_CATALOG_SCOPE,KEEP_EXTERNAL_OR_LOCAL,,"""Estaciones como nodos y lugares: el potencial del tren para el desarrollo urbano orientado al transporte en Santiago, Chile"" | ""Estaciones como nodos y lugares: el potencial del tren para el desarrollo urbano orientado al transporte en Santiago, Chile"" ""Giovanni Vecchio""",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-FF64695BFF73641D,DOTS América Latina,1,"Factores determinantes de la relación entre la localización de las empresas, la dinámica del transporte público tipo BRT y el desarrollo urbano",Diego Rafael Roberto Cabrera-Moya,"El Colegio de Mexico, A.C.",2022,journal-article,VERIFIED_EXTERNAL,,https://doi.org/10.24201/edu.v37i3.2048,doi,10.24201/edu.v37i3.2048,OUTSIDE_BOOK_CATALOG_SCOPE,KEEP_EXTERNAL_OR_LOCAL,,"""Factores determinantes de la relación entre la localización de las empresas, la dinámica del transporte público tipo BRT y el desarrollo urbano"" | ""Factores determinantes de la relación entre la localización de las empresas, la dinámica del transporte público tipo BRT y el desarrollo urbano"" ""Diego Rafael Roberto Cabrera-Moya""",DOI metadata verifies a non-book publication; do not create it as an Open Library book
