list_name,local_work_id,canonical_title,document_type,mapping_status,mapping_confidence,primary_identifier_type,primary_identifier,ol_work_key,openlibrary_action,local_pdf_count,local_paths_json
Acuerdo,OLP-B9EBCD2A5F341487,"Proyecto de Acuerdo del Plan de Ordenamiento Territorial de Bogotá D.C. presentado al Concejo de Bogotá, septiembre de 2021",legal-document,AUTHORITY_MAPPED,1.000,url,https://www.sdp.gov.co/micrositios/pot/documentos,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/Proyecto Política nacional DOTS (CCAP-SIGMA-DESPACIO)/Bogotá/POT Bogotá 2022- Documentos relevantes DOTS/Acuerdo/proyecto-de-acuerdo-pot-2021_concejo.pdf""]"
Atlas de Accesibilidad y Conectividad,OLP-22E6A75FA2052F64,Atlas de Accesibilidad y Conectividad de la Zona Metropolitana del Valle de México,report,AUTHORITY_MAPPED,1.000,url,https://wrimexico.org/sites/default/files/Informe%20Institucional%20WRI.pdf,,CREATE_RECORD_CANDIDATE,5,"[""5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_introduccion.pdf"", ""5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion1_generalidades.pdf"", ""5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion2_sociodemografico.pdf"", ""5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion3_sociodeconomico.pdf"", ""5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion4_proximidad_peatonal_movilidadnomotorizada.pdf""]"
Bogota 21 Transit-oriented Metropolis,OLP-932A761B1468DA4F,"Bogotá 21: Towards a World-Class, Transit-Oriented Metropolis",report,AUTHORITY_MAPPED,1.000,isbn_13,9789585767409,,CREATE_RECORD_CANDIDATE,3,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/Bogota 21 Transit-oriented Metropolis/Bogota 21 engish digital 31-10-12.pdf"", ""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/Bogota 21 Transit-oriented Metropolis/Bogota 21 espanol digital 31-10-12.pdf"", ""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/Bogota 21 Transit-oriented Metropolis/Bogota 21_Towards a worldclass transit-oriented Metropolis.pdf""]"
Captura de valor,OLP-E4865A5A59DD2880,A methodological proposal to estimate changes of residential property value: case study developed in Bogotá,journal-article,AUTHORITY_MAPPED,1.000,doi,10.1080/13504851.2011.554360,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/PERDOMO JA 2013 A methodological proposal to estimate changes of residential property value. case study in Bogota..pdf""]"
Captura de valor,OLP-B2DDC90F423B5844,"Aportes para a melhoria da gestão do transporte público por ônibus de Bogotá, a partir das experiências de Belo Horizonte e Curitiba",article,AUTHORITY_MAPPED,1.000,url,https://dialnet.unirioja.es/servlet/articulo?codigo=2527104,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/ROJASF~1.PDF""]"
Captura de valor,OLP-8A78778A1392DEDD,Capitalization of BRT network expansions effects into prices of non-expansion areas,journal-article,AUTHORITY_MAPPED,1.000,doi,10.1016/j.tra.2009.02.003,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/X. BOG BRT prices Rodriguez & Mojica 2009.pdf""]"
Captura de valor,OLP-CB3DFDBF714E54AE,"Creación y captura de valor para el desarrollo de proyectos de transporte: Informe 3, informe final",consultant-report,AUTHORITY_MAPPED,1.000,isbn_13,9789804221279,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/CAF (2014) Creación y captura valor para proyectos de transporte.pdf""]"
Captura de valor,OLP-27586CE5990FBBC5,Estrategias de captura de valor para financiar la construcción del metro de Bogotá: instrumentos y potencial,presentation,AUTHORITY_MAPPED,1.000,local_work,OLP-27586CE5990FBBC5,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/GUZMAN, PAEZ y BORRERO CIE UANDES PPT estrategia de captura de valor para financiar la construccion del metro de Bogota.pdf""]"
Captura de valor,OLP-52F1B58424ED5562,Estrategias y mejores prácticas en captura de valor inmobiliario para mega proyectos de transporte masivo: conclusiones y recomendaciones,presentation,AUTHORITY_MAPPED,1.000,local_work,OLP-52F1B58424ED5562,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Curso Captura Valor Conclusiones  20180921.pdf""]"
Captura de valor,OLP-66098650F7D56B79,Estrategias y mejores prácticas en captura de valor inmobiliario para mega proyectos de transporte masivo: informe final,report,AUTHORITY_MAPPED,1.000,local_work,OLP-66098650F7D56B79,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Informe Final Curso Captura de valor (Ago2018) 20180920.pdf""]"
