list_name,local_folder_path,pdf_count
Atlas de Accesibilidad y Conectividad,5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad,5
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor,33
DOT estándar,5 DOT y planeación urbana (Gregor Wessels)/DOT estándar,4
DOTS América Latina,5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina,21
DOTS Colombia,5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia,5
Bogota 21 Transit-oriented Metropolis,5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/Bogota 21 Transit-oriented Metropolis,3
Proyecto Política nacional DOTS (CCAP-SIGMA-DESPACIO),5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/Proyecto Política nacional DOTS (CCAP-SIGMA-DESPACIO),3
Bogotá,5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/Proyecto Política nacional DOTS (CCAP-SIGMA-DESPACIO)/Bogotá,0
PMMS Bogota 2023,5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/Proyecto Política nacional DOTS (CCAP-SIGMA-DESPACIO)/Bogotá/PMMS Bogota 2023,2
POT Bogotá 2022- Documentos relevantes DOTS,5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/Proyecto Política nacional DOTS (CCAP-SIGMA-DESPACIO)/Bogotá/POT Bogotá 2022- Documentos relevantes DOTS,0
Acuerdo,5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/Proyecto Política nacional DOTS (CCAP-SIGMA-DESPACIO)/Bogotá/POT Bogotá 2022- Documentos relevantes DOTS/Acuerdo,1
Carto,5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/Proyecto Política nacional DOTS (CCAP-SIGMA-DESPACIO)/Bogotá/POT Bogotá 2022- Documentos relevantes DOTS/Carto,1
DTS,5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/Proyecto Política nacional DOTS (CCAP-SIGMA-DESPACIO)/Bogotá/POT Bogotá 2022- Documentos relevantes DOTS/DTS,7
Conpes Movilidad Sostenible,5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/Proyecto Política nacional DOTS (CCAP-SIGMA-DESPACIO)/Conpes Movilidad Sostenible,1
Otras políticas relacionadas,5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/Proyecto Política nacional DOTS (CCAP-SIGMA-DESPACIO)/Otras políticas relacionadas,1
Proyectos DOTS,5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/Proyecto Política nacional DOTS (CCAP-SIGMA-DESPACIO)/Proyectos DOTS,6
Recomendaciones de política- DOTS,5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/Proyecto Política nacional DOTS (CCAP-SIGMA-DESPACIO)/Recomendaciones de política- DOTS,3
DOTS Asia,5 DOT y planeación urbana (Gregor Wessels)/DOTS Asia,2
DOTS Europa & Estados Unidos,5 DOT y planeación urbana (Gregor Wessels)/DOTS Europa & Estados Unidos,15
Planeación territorial,5 DOT y planeación urbana (Gregor Wessels)/Planeación territorial,3
Teoria DOTS,5 DOT y planeación urbana (Gregor Wessels)/Teoria DOTS,3
Desarrollo orientado al tranporte sustentable,5 DOT y planeación urbana (Gregor Wessels)/Teoria DOTS/Desarrollo orientado al tranporte sustentable,8
Smart Growth,5 DOT y planeación urbana (Gregor Wessels)/Teoria DOTS/Smart Growth,9
