folder,filename,title,author,year,publisher,document_type,reason_not_created,source_url
Captura de valor,CAF (2014) Creación y captura valor para proyectos de transporte.pdf,"Creación y captura de valor para el desarrollo de proyectos de transporte: Informe 3, informe final",Infratrans Consultancy LAC SAS; Juan Felipe Pinilla Pineda,2014,CAF,consultant-report,Author not yet on Open Library — attaching would create a duplicate work,https://scioteca.caf.com/handle/123456789/1404
Captura de valor,DIAZ FABIAN ALBERTO 2011 Las diferencias de aplicacion de instrumentos ANPUR.pdf,Las diferencias en la aplicación de instrumentos de planificación y,Fabián Alberto Díaz; Vanessa Velasco Bernal,2011,Associação Nacional de Pós-Graduação e Pesquisa em Planejamento Urbano e Regional (ANPUR),proceedings-article,"Conference paper — the proceedings volume is the book, not the paper",https://anpur.org.br/site/anais/ena14/ARQUIVOS/GT1-1133-756-20110106190706.pdf
DOTS América Latina,2021_DOTS_SantaFe.pdf,Valoración del entorno de una estación ferroviaria inactiva mediante estándar DOT: avance metodológico para el caso del Gran Santa Fe (Argentina),María Alejandra Saus; Andrés Ignacio Aguirre,2022,Universitat Politècnica de Catalunya,proceedings-article,"Conference paper — the proceedings volume is the book, not the paper",https://doi.org/10.5821/siiu.10156
Captura de valor,Connolly_et_al-2016-Financial_Accountability_&_Management.pdf,Value Capture: A Valid Means of Funding PPPs?,Ciaran Connolly; Anthony Wall,2016,Wiley,article,"Journal article — Open Library catalogues books, not articles",https://pure.qub.ac.uk/en/publications/value-capture-a-valid-means-of-funding-ppps/
Captura de valor,"Instrumentos de financiacion del desarrollo urbano, lecciones colombia Acosta Patricia.pdf",Instrumentos de financiación del desarrollo urbano en Colombia: la contribución por valorización y la participación en plusvalías. Lecciones y reflexiones,Patricia Acosta Restrepo,2010,Universidad del Rosario,article,"Journal article — Open Library catalogues books, not articles",https://revistas.urosario.edu.co/index.php/desafios/article/view/1289
Captura de valor,Land value capture mechanisms in Hong Kong and Singapore_2004.pdf,Land value capture mechanisms in Hong Kong and Singapore,Eddie Chi‐Man Hui; Vivian Sze‐Mun Ho; David Kim‐Hin Ho,2004,Emerald,journal-article,"Journal article — Open Library catalogues books, not articles",https://doi.org/10.1108/14635780410525153
Captura de valor,MUNOS-RASKIN RAMON 2009 walking accessibility to bus rapid transit. does it affect property values the case of bogota.pdf,"Walking accessibility to bus rapid transit: Does it affect property values? The case of Bogotá, Colombia",Ramon Munoz-Raskin,2010,Elsevier BV,journal-article,"Journal article — Open Library catalogues books, not articles",https://doi.org/10.1016/j.tranpol.2009.11.002
Captura de valor,PERDOMO JA 2013 A methodological proposal to estimate changes of residential property value. case study in Bogota..pdf,A methodological proposal to estimate changes of residential property value: case study developed in Bogotá,Jorge A. Perdomo,2011,Informa UK Limited,journal-article,"Journal article — Open Library catalogues books, not articles",https://doi.org/10.1080/13504851.2011.554360
Captura de valor,REZENDE VERA FURTADO FERNANDA Revisao bibliografica comentada dos fundamentos da outorga onerosa do direito de construir OODC.pdf,Revisão bibliográfica comentada dos fundamentos da Outorga Onerosa do Direito de Construir – OODC,Vera F. Rezende; Fernanda Furtado; M. Teresa C. Oliveira; Pedro Jorgensen Jr.,2011,"Revista de Direito da Cidade, Universidade do Estado do Rio de Janeiro",article,"Journal article — Open Library catalogues books, not articles",https://www.e-publicacoes.uerj.br/rdc/article/view/9853
Captura de valor,ROJASF~1.PDF,"Aportes para a melhoria da gestão do transporte público por ônibus de Bogotá, a partir das experiências de Belo Horizonte e Curitiba",Fernando Rojas Parra,2006,Pontificia Universidad Javeriana,article,"Journal article — Open Library catalogues books, not articles",https://dialnet.unirioja.es/servlet/articulo?codigo=2527104
Captura de valor,SMITH JEFFERY GIHRING THOMAS Financing transist systems through land value capture.pdf,Financing Transit Systems Through Value Capture,Jeffery J. Smith; Thomas A. Gihring,2006,Wiley,journal-article,"Journal article — Open Library catalogues books, not articles",https://doi.org/10.1111/j.1536-7150.2006.00474.x
Captura de valor,SMOLKA MARTIM 2012 Una nueva mirada a la recuperacion de_plusvalias.pdf,Una nueva mirada a la recuperación de plusvalías en América Latina,Martim O. Smolka,2012,Lincoln Institute of Land Policy,article,"Journal article — Open Library catalogues books, not articles",https://www.lincolninst.edu/app/uploads/legacy-files/pubfiles/2137_1462_Una_nueva_mirada_a_la_recuperacion_de_plusvalias_0712LLSP.pdf
Captura de valor,SMOLKA-AMBORSKI Recuperación de plusvalias comparación Inter-america.pdf,Recuperación de plusvalías para el desarrollo urbano: una comparación inter-americana,Martim O. Smolka; David Amborski,2003,"Instituto de Estudios Urbanos y Territoriales, Pontificia Universidad Católica de Chile",article,"Journal article — Open Library catalogues books, not articles",https://doi.org/10.4067/S0250-71612003008800003
Captura de valor,X. BOG BRT prices Rodriguez & Mojica 2009.pdf,Capitalization of BRT network expansions effects into prices of non-expansion areas,Daniel A. Rodríguez; Carlos H. Mojica,2009,Elsevier BV,journal-article,"Journal article — Open Library catalogues books, not articles",https://doi.org/10.1016/j.tra.2009.02.003
DOTS América Latina,2019_TOD_Gentrification.pdf,Transit-oriented development and gentrification: a systematic review,Miguel Padeiro; Ana Louro; Nuno Marques da Costa,2019,Informa UK Limited,journal-article,"Journal article — Open Library catalogues books, not articles",https://doi.org/10.1080/01441647.2019.1649316
DOTS América Latina,2021_DOTS_tren_Santiago.pdf,"Estaciones como nodos y lugares: el potencial del tren para el desarrollo urbano orientado al transporte en Santiago, Chile",Giovanni Vecchio,2021,Universidad del Bio Bio,journal-article,"Journal article — Open Library catalogues books, not articles",https://doi.org/10.22320/07183607.2021.24.43.08
DOTS América Latina,2022_Factores_BRT_Latam.pdf,"Factores determinantes de la relación entre la localización de las empresas, la dinámica del transporte público tipo BRT y el desarrollo urbano",Diego Rafael Roberto Cabrera-Moya,2022,"El Colegio de Mexico, A.C.",journal-article,"Journal article — Open Library catalogues books, not articles",https://doi.org/10.24201/edu.v37i3.2048
DOTS América Latina,2023_BRT_Quito.pdf,"Entorno urbano, densidad poblacional y uso del Sistema de Autobuses de Transporte Rápido en Quito",Alba Núñez,2023,Pontificia Universidad Catolica de Chile,journal-article,"Journal article — Open Library catalogues books, not articles",https://doi.org/10.7764/eure.49.148.11
DOTS América Latina,2023_TODS_literature_review.pdf,Transportation Oriented Development Method: literature review,Julio Vega; Robinson Balcázar; Xavier Guerra,2023,IOP Publishing,journal-article,"Journal article — Open Library catalogues books, not articles",https://doi.org/10.1088/1755-1315/1141/1/012002
DOTS América Latina,VergelTovar-Busrapidtransit-2022.pdf,Bus rapid transit impacts on land uses and development over time in Bogotá and Quito,C. Erik Vergel-Tovar; Daniel A. Rodriguez,2022,Center for Transportation Studies,journal-article,"Journal article — Open Library catalogues books, not articles",https://doi.org/10.5198/jtlu.2022.1888
DOTS América Latina,s5.pdf,"¿Es la densidad suficiente? Análisis de la relación entre la densidad poblacional y la demanda de pasajeros en los sistemas de transporte público masivo tipo BRT (Bus Rapid Transit) en Curitiba, Quito y Bogotá",C. Erik Vergel-Tovar,2019,International Institute for Environment and Development–Latin America,article,"Journal article — Open Library catalogues books, not articles",https://www.ingentaconnect.com/contentone/iieal/meda/2019/00000090/00000001/art00005
DOTS Asia,Journal Cities 2012 TOD Dalian China 1-s2.0-S0966692312000592-main.pdf,Establishing the conditions for effective transit-oriented development in China: the case of Dalian,Rui Mu; Martin de Jong,2012,Elsevier BV,journal-article,"Journal article — Open Library catalogues books, not articles",https://doi.org/10.1016/j.jtrangeo.2012.02.010
DOTS Colombia,2019_DOTS_Una prospectiva para Colombia.pdf,Desarrollo Orientado al Transporte Sostenible (DOTS): Una prospectiva para Colombia,Julián Rodrigo Quintero González,2019,Universidad Nacional de Colombia,article,"Journal article — Open Library catalogues books, not articles",https://revistas.unal.edu.co/index.php/bitacora/article/view/65979
DOTS Colombia,2022_Analytics_tool_Simulated_DOTS.pdf,A SPATIO-TEMPORAL VISUAL ANALYTICS TOOL FOR SIMULATED TRANSPORT ORIENTED-LAND USE URBAN PLANNING DATA,L. Merchan Zorro; A. A. Vivas Meza; O. D. Bautista Acosta; H. E. Castro Barrera; J. R. Peña; L. A. Guzman; J. T. Hernandez,2022,Copernicus GmbH,journal-article,"Journal article — Open Library catalogues books, not articles",https://doi.org/10.5194/isprs-archives-xlviii-4-w5-2022-113-2022
DOTS Europa & Estados Unidos,Journal cities 2012 TOD Denver 1-s2.0-S0264275112001527-main.pdf,The reshaping of land use and urban form in Denver through transit-oriented development,Keith A. Ratner; Andrew R. Goetz,2013,Elsevier BV,journal-article,"Journal article — Open Library catalogues books, not articles",https://doi.org/10.1016/j.cities.2012.08.007
DOTS Europa & Estados Unidos,property tax sprawl hpd_1701_goodman.pdf,"Houses, Apartments, and the Incidence of Property Taxes",Jack Goodman,2006,Fannie Mae Foundation,article,"Journal article — Open Library catalogues books, not articles",https://www.tandfonline.com/doi/abs/10.1080/10511482.2006.9521558
Planeación territorial,land use and transport challenges for research and policy making.pdf,Land Use and Transport: Research and Policy Challenges,Bert van Wee,2002,Elsevier,article,"Journal article — Open Library catalogues books, not articles",https://research.tudelft.nl/en/publications/land-use-and-transport-research-and-policy-challenges/
DOTS Europa & Estados Unidos,LAND TAX Jerry Jones M Star 1 Feb 06.pdf,The Simple Way to End Land Hoarding,Jerry Jones,2006,Morning Star,newspaper-article,Newspaper article — not a book,https://www.labourland.org/land-value-tax-in-the-news/
Smart Growth,LA law to taclke sprawl and global warming.pdf,Legislature Takes Aim at Urban Sprawl and Global Warming,Margot Roosevelt,2008,Los Angeles Times,newspaper-article,Newspaper article — not a book,https://www.latimes.com/archives/la-xpm-2008-aug-21-me-sprawl21-story.html
Proyectos DOTS,DOT_Cali.pdf,Corredor Verde – TOD NAMA Cali: proyecto Sendero ecológico Río Lili,Hanae Tanaka,2018,,presentation,No publisher named anywhere in the document — Open Library requires one,
Proyectos DOTS,DOT_NAMA_Colombia.pdf,NS-127 – Colombia TOD NAMA: NAMA seeking support for implementation,Findeter; Center for Clean Air Policy,2015,United Nations Framework Convention on Climate Change,registry-record,Registry printout (UNFCCC entry) — not a publication,https://www4.unfccc.int/sites/PublicNAMA/_layouts/un/fccc/nama/NamaSeekingSupportForImplementation.aspx?ID=67
Carto,cg-7_actuaciones_estrategicas.pdf,CG-7 Actuaciones Estratégicas,Secretaría Distrital de Planeación de Bogotá,2021,Secretaría Distrital de Planeación de Bogotá,map,Single-sheet map — not a book,https://concejodebogota.gov.co/consulte-aqui-los-documentos-radicados-por-la-administracion-distrital/cbogota/2021-09-11/121910.php
Smart Growth,Sprawling Cities Getting Hotter.pdf,Sprawling Cities Getting Hotter Faster,OurAmazingPlanet Staff,2010,OurAmazingPlanet,news-article,Web news article — not a book,https://www.livescience.com/archive/2010/06
