local_folder,local_path,filename,detected_title,detected_author,isbn_10,isbn_13,doi,year,publisher,ol_work_key,ol_edition_key,ol_title,ol_author,confidence,status,notes,candidates_json,create_record
Atlas de Accesibilidad y Conectividad,5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_introduccion.pdf,atlas_introduccion.pdf,atlas_introduccion,,,,,,,,,,,,NOT_FOUND,No Open Library candidates returned,,
Atlas de Accesibilidad y Conectividad,5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion1_generalidades.pdf,atlas_seccion1_generalidades.pdf,atlas_seccion1_generalidades,,,,,,,,,,,,NOT_FOUND,No Open Library candidates returned,,
Atlas de Accesibilidad y Conectividad,5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion2_sociodemografico.pdf,atlas_seccion2_sociodemografico.pdf,atlas_seccion2_sociodemografico,,,,,,,,,,,,NOT_FOUND,No Open Library candidates returned,,
Atlas de Accesibilidad y Conectividad,5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion3_sociodeconomico.pdf,atlas_seccion3_sociodeconomico.pdf,atlas_seccion3_sociodeconomico,,,,,,,,,,,,NOT_FOUND,No Open Library candidates returned,,
Atlas de Accesibilidad y Conectividad,5 DOT y planeación urbana (Gregor Wessels)/Atlas de Accesibilidad y Conectividad/atlas_seccion4_proximidad_peatonal_movilidadnomotorizada.pdf,atlas_seccion4_proximidad_peatonal_movilidadnomotorizada.pdf,atlas_seccion4_proximidad_peatonal_movilidadnomotorizada,,,,,,,,,,,,NOT_FOUND,No Open Library candidates returned,,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/ACOSTA PATRICIA 2008 Policy Learningn new Challenges for Smart Value capture in colombia.pdf,ACOSTA PATRICIA 2008 Policy Learningn new Challenges for Smart Value capture in colombia.pdf,Policy Learning :,Patricia Acosta,,,,1993,Submitted to the Department of Urban Studies and Planning,/works/OL5892045W,/books/OL19592263M,Presidential leadership and the reform of fiscal policy,Robert P. Inman,0.201,NOT_FOUND,title=0.17; author=0.14; publisher=0.24; year=exact; runner_up=0.00; margin=0.20,"[{""work_key"": ""/works/OL5892045W"", ""title"": ""Presidential leadership and the reform of fiscal policy"", ""author"": [""Robert P. Inman""], ""score"": 0.201}]",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/CAF (2014) Creación y captura valor para proyectos de transporte.pdf,CAF (2014) Creación y captura valor para proyectos de transporte.pdf,Figuras ..................................................................................................................................... 4,,,,,2014,,,,,,,NOT_FOUND,No Open Library candidates returned,,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Connolly_et_al-2016-Financial_Accountability_&_Management.pdf,Connolly_et_al-2016-Financial_Accountability_&_Management.pdf,Value Capture: A Valid Means of Funding PPPs&#x0003F;,an appraisal process that was subject to excessive gaming. Shaoul (2005) also,,,,2016,∗The authors are respectively from Queen’s University Belfast and the University of Ulster.,,,,,,NOT_FOUND,No Open Library candidates returned,,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Curso Captura Valor Conclusiones  20180921.pdf,Curso Captura Valor Conclusiones  20180921.pdf,CFP notes,Carlosfelipe Pardo,,,,,"con las de orden nacional, (DNP , el Ministerio de",,,,,,NOT_FOUND,No Open Library candidates returned,,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/DIAZ FABIAN ALBERTO 2011 Las diferencias de aplicacion de instrumentos ANPUR.pdf,DIAZ FABIAN ALBERTO 2011 Las diferencias de aplicacion de instrumentos ANPUR.pdf,XIV ENCONTRO NACIONAL DA ANPUR,,,,,2011,,,,,,,NOT_FOUND,No Open Library candidates returned,,
