local_folder,filename_pattern,parent_publication_id,publication_role,canonical_title,canonical_author,canonical_publisher,canonical_year,isbn_10,isbn_13,doi,document_type,source_url,notes
"Atlas de Accesibilidad y Conectividad","atlas_*.pdf","atlas-accessibility-zmvm-2010","COMPONENT","Atlas de Accesibilidad y Conectividad de la Zona Metropolitana del Valle de México","Centro de Transporte Sustentable de México A.C.","Centro de Transporte Sustentable de México A.C.","2010","","","","report","https://wrimexico.org/sites/default/files/Informe%20Institucional%20WRI.pdf","The five local PDFs are named sections of one verified parent atlas; do not treat them as five books"
"Desarrollo orientado al tranporte sustentable","DOTS_*.pdf","dots-manual-2009","COMPONENT","Manual: Desarrollo Orientado al Transporte Sustentable (DOTS)","Centro de Transporte Sustentable de México A.C.","Centro de Transporte Sustentable de México A.C.","2009","","","","manual","https://es.wri.org/publicaciones/manual-desarrollo-orientado-al-transporte-sustentable","The eight local PDFs collectively contain the front matter and numbered sections of one 153-page manual"
"Smart Growth","landuse-globalwarming-GrowingCooler9-18-07small.pdf","growing-cooler-2008","PUBLICATION","Growing Cooler: The Evidence on Urban Development and Climate Change","Reid H. Ewing; Keith Bartholomew; Steve Winkelman; Jerry Walters; Don Chen","Urban Land Institute","2008","0874200822","9780874200829","","book","https://books.google.com/books/about/Growing_Cooler.html?id=5cskAQAAMAAJ","Title and authors match the local PDF; the PDF's printed ISBN-13 ends in 2 and fails checksum, while the verified print ISBN-13 ends in 9"
"Bogota 21 Transit-oriented Metropolis","Bogota 21 engish digital 31-10-12.pdf","bogota-21-2012","PUBLICATION","Bogotá 21: Towards a World-Class, Transit-Oriented Metropolis","Gregor Wessels; Carlos Felipe Pardo; Juan Pablo Bocarejo","Fundación Despacio","2012","","9789585767409","","report","https://despacio.org/wp-content/uploads/2012/10/Bogota-21-english.pdf","Full English publication; ISBN and coordinating lead authors verified on the copyright page"
"Bogota 21 Transit-oriented Metropolis","Bogota 21 espanol digital 31-10-12.pdf","bogota-21-2012","ALTERNATE_EDITION","Bogotá 21: Hacia una Metrópoli de Clase Mundial Orientada al Transporte Público","Gregor Wessels; Carlos Felipe Pardo; Juan Pablo Bocarejo","Fundación Despacio","2012","","9789585767409","","report","https://despacio.org/2012/10/30/bogota-21-published/","Full Spanish language edition of the same intellectual work; ISBN and authors verified in the local PDF"
"Bogota 21 Transit-oriented Metropolis","Bogota 21_Towards a worldclass transit-oriented Metropolis.pdf","bogota-21-2012","ALTERNATE_EDITION","Bogotá 21: Towards a World-Class, Transit-Oriented Metropolis","Gregor Wessels; Carlos Felipe Pardo; Juan Pablo Bocarejo","Fundación Despacio","2012","","9789585767409","","report","https://despacio.org/wp-content/uploads/2012/10/Bogota-21-english.pdf","Byte-identical copy of the verified English publication"
"DOTS América Latina","Managing the urban environment - Lima, Peru - David Edelman.pdf","managing-urban-environment-lima-2018","PUBLICATION","Managing the Urban Environment - Lima, Peru","David J. Edelman","LAP LAMBERT Academic Publishing","2018","","9786137341308","","book","https://www.daap.uc.edu/content/dam/refresh/daap-62/documents/news-events/daapcares-presentation-2018.pdf","Full book and checksum-valid ISBN verified visually on the local wraparound cover"
"DOTS América Latina","Managing the urban environment - Santo Domingo, DomRep - David Edelman.pdf","managing-urban-environment-santo-domingo-2019","PUBLICATION","Managing the Urban Environment - Santo Domingo, the Dominican Republic","David J. Edelman","LAP LAMBERT Academic Publishing","2019","","9786139446896","","book","https://www.abebooks.com/9786139446896/Managing-Urban-Environment-Santo-Domingo-6139446899/plp","Full book and checksum-valid ISBN verified visually on the local wraparound cover"
"DOTS Europa & Estados Unidos","TOD tcrp_rpt_95c17.pdf","tcrp-report-95-chapter-17-2007","PUBLICATION","Traveler Response to Transportation System Changes Handbook, Third Edition: Chapter 17, Transit-Oriented Development","John E. Evans IV; Richard H. Pratt; Andrew Stryker; J. Richard Kuzmyak","Transportation Research Board","2007","0309098920","9780309098922","10.17226/14077","report","https://www.nationalacademies.org/publications/14077","Official National Academies metadata verifies title, date, DOI, and ISBN; the existing Open Library ISBN hit is bibliographically unrelated"
"Teoria DOTS","TODandEmploymentFINALMay2011.pdf","tod-and-employment-2011","PUBLICATION","Transit-Oriented Development (TOD) and Employment","Dena Belzer; Sujata Srivastava; Jeff Wood; Ellen Greenberg","Center for Transit-Oriented Development","2011","","","","report","https://trid.trb.org/View/1111817","TRID verifies the report title, authors, date, publisher, pagination, and FTA report number"
